Geography,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,5 to 17 Years,55 to 59 Years,60 & 61 Years,62 to 64 Years,65 to 74 Years,75 Years & Over,Under 5 Years,abbrev,Medicaid Expansion (2017),2016 Election,Median Household Income (2018)
Alabama,0.0943768769674977,0.13011309013678962,0.12141891633392125,0.12810751347570343,0.16377600800021114,0.0680664444704044,0.028201849025884684,0.037158304709760136,0.10094292586690606,0.06879621004727825,0.059041860965643324,AL,no,Trump,49861
Alaska,0.09305867069502792,0.15959036556293546,0.13156360263506897,0.12113967547102265,0.17803123788033706,0.06414098541165494,0.027510109324444903,0.03488428857748041,0.08086103509718783,0.038471030784960905,0.07074899855987893,AK,yes,Trump,74346
Arizona,0.09612061164201356,0.1365555410849894,0.12307049176716196,0.118865599333821,0.16843650676567137,0.0600234590497077,0.025125891601453836,0.03571453471072052,0.10150473127089653,0.07406207724140317,0.06052055553216096,AZ,yes,Trump,59246
Arkansas,0.09553507585875093,0.13037817391520742,0.12178975222516238,0.12288138826906009,0.17116720446608547,0.0650449180028701,0.02701251731603527,0.03533217754846416,0.09848216137300607,0.06996690252420097,0.06240972850115717,AR,yes,Trump,47062
California,0.09494801747703854,0.15254926145266917,0.1330851938004975,0.1281194285366867,0.16576174989815343,0.06282193222471497,0.02459010777978992,0.03346215572978214,0.08308155980812015,0.06018841902877225,0.061392174263775266,CA,yes,Clinton,75277
Colorado,0.09279836026774521,0.1562015631814514,0.13719238340575227,0.12469669377782429,0.16347740100892555,0.06358755691271312,0.026088900063277316,0.035187384427600145,0.08821215949816383,0.05362717370922353,0.05893042374732336,CO,yes,Clinton,71953
Connecticut,0.09634348588518654,0.1253660782637051,0.1188392978350895,0.1384518279771543,0.15502209135197395,0.07292035497310831,0.029580159348833433,0.04112980086294125,0.0960235566446896,0.07559818790734647,0.05072515894997152,CT,yes,Clinton,76348
Delaware,0.08718313514363024,0.13172334571652788,0.11620799217511692,0.12705819343218522,0.15386627597394875,0.07105878898354065,0.027437754026950766,0.042393744229303816,0.11155731509733026,0.07533414463419602,0.05617931058726947,DE,yes,Clinton,64805
Florida,0.08306953389367973,0.1295118507276639,0.12144535096769499,0.12873497164816256,0.14519159644730525,0.06804394035961234,0.02763585230987367,0.0384161939404183,0.1128784128135516,0.09176581886984682,0.053306478022190844,FL,no,Trump,55462
Georgia,0.0986750764653179,0.13710218428201026,0.13318573407893455,0.1327376128561549,0.1766062469847592,0.0634882444228443,0.02486160193355657,0.03353142623562488,0.08526547189855008,0.053185163708264906,0.06136123713398245,GA,no,Trump,58756
Hawaii,0.08563729020458419,0.14151796808286712,0.12780158410014567,0.12065546349818478,0.1519319728178496,0.060750120908897,0.027885428348366867,0.03819805968499625,0.10515518929722188,0.07891285478049491,0.06155406827639175,HI,yes,Clinton,80212
Idaho,0.0941114166621062,0.1300187891059669,0.125249115270253,0.11465858096645323,0.189075069775078,0.06384248618179827,0.022006512340611833,0.036928916069246066,0.09599602783706379,0.06330150130429231,0.06481158448713037,ID,no,Trump,55583
