Geography,Employer,Medicaid,Medicare,NonGroup,OtherPublic,Uninsured,abbrev,Medicaid Expansion (2017),2016 Election,Median Household Income (2018)
Alabama,0.4472053058383916,0.17092999871492967,0.12621309803751404,0.13803073821448658,0.023968021776100697,0.09365283741857744,AL,no,Trump,49861
Alaska,0.4069630734258802,0.1884349980032897,0.07120855429795386,0.13343749738193578,0.0634032321573687,0.13655264473357182,AK,yes,Trump,74346
Arizona,0.43371576728317296,0.19458315799621922,0.12618785918775888,0.12446235380069341,0.02047503221208777,0.10057582952006776,AZ,yes,Trump,59246
Arkansas,0.4017000615399221,0.2327890808173451,0.12181547856189848,0.14189885413682207,0.023201059232598867,0.07859546571141336,AR,yes,Trump,47062
California,0.4603368237143932,0.23705614040164844,0.09607864504254954,0.12277904214259619,0.012127948398378512,0.07162140030043408,CA,yes,Clinton,75277
Colorado,0.48964104554349147,0.1660437752875825,0.10106944598091791,0.13975901647966021,0.02839209513118259,0.07509462157716533,CO,yes,Clinton,71953
Connecticut,0.5236506375472851,0.17384990111753865,0.1219466470164755,0.11654388124829988,0.009210461577787443,0.05479847149261336,CT,yes,Clinton,76348
Delaware,0.5140684860212466,0.1472839001793596,0.1357601247388518,0.12909141005786168,0.019699997571941782,0.05409608143073858,DE,yes,Clinton,64805
Florida,0.38406691251057123,0.1594411816137027,0.14306583236550996,0.16120246220459464,0.022808005762836973,0.1294156055427845,FL,no,Trump,55462
Georgia,0.4691943461144818,0.1459858689965644,0.09904971823721971,0.12721828262280266,0.024278154357612693,0.13427362967131873,GA,no,Trump,58756
Hawaii,0.49775196948446043,0.14425335820949867,0.1263805325072349,0.1451133919117508,0.04803080682958516,0.03846994105747006,HI,yes,Clinton,80212
Idaho,0.45989583978509657,0.14330671225224492,0.1100041114322,0.16453633131654902,0.020790751696039517,0.10146625351786999,ID,no,Trump,55583
Illinois,0.5233884352660187,0.1771642375044433,0.1166768857933748,0.10567699561795184,0.009007200086591845,0.06808624573161948,IL,yes,Clinton,65030
Indiana,0.523455057933139,0.15215590200038548,0.12242476669477077,0.10789877769952473,0.01240234734793712,0.08166314832424289,IN,yes,Trump,55746
