Geography,"Agriculture, Forestry, Fishing and Hunting, and Mining","Arts, Entertainment & Recreation and Accommodation & Food Services",Construction,"Educational Services, Health Care & Social Assistance","Finance & Insurance, and Real Estate, Rental & Leasing",Information,Manufacturing,"Other Services, Except Public Administration","Professional, Scientific & Management, and Administrative & Waste",Public Administration or Active Duty Military,Retail Trade,"Transportation & Warehousing, and Utilities",Wholesale Trade,abbrev,Medicaid Expansion (2017),2016 Election,Median Household Income (2018)
Alabama,0.011969270560581408,0.08711588200726761,0.061778685673852994,0.2313452674584551,0.05073785433598107,0.014760584606897434,0.14732151780324684,0.04318341721600154,0.09557477283720632,0.06154332782999068,0.11282435409012956,0.055230640693021416,0.02661442488736803,AL,no,Trump,49861
Alaska,0.03801498181439999,0.09210955849003187,0.05239012806475749,0.23673057867474787,0.022562277374455805,0.024012503141674347,0.044500553223574546,0.0423223256767961,0.08182220000982225,0.16924308037197425,0.10160535947976762,0.07490040531210188,0.019786048365896005,AK,yes,Trump,74346
Arizona,0.012088764362326579,0.11337457731450414,0.06318656288727462,0.22405049856886977,0.08543708660093101,0.020538718889449477,0.07131355385637755,0.04131876241932034,0.11861187715628792,0.05554711953407037,0.11821380579407725,0.05496291143973497,0.021355761176776015,AZ,yes,Trump,59246
Arkansas,0.02608998709920613,0.08128556248436145,0.06037376556950343,0.25475574605258455,0.04338826190236341,0.014203059145428017,0.14697968693640265,0.040528640087348446,0.07255071766758846,0.049183058040574136,0.12912492322890298,0.057174563663955444,0.024362028121780895,AR,yes,Trump,47062
California,0.022332954333729515,0.1059623297695361,0.059231797581468536,0.2162026664267777,0.05809049345839055,0.029415191960532983,0.09325809159244583,0.042816097537514704,0.12901109881013084,0.05481636061471466,0.10662121239501483,0.05379775787301291,0.028443947646730826,CA,yes,Clinton,75277
Colorado,0.020527507706071896,0.10726607441164752,0.07460910469773326,0.21498367920374084,0.06737693001279103,0.02761604540466488,0.06544219921855887,0.0421377097764016,0.1352938092808365,0.061561554215099006,0.11312723231447763,0.04667188559366459,0.023386268164312326,CO,yes,Clinton,71953
Connecticut,0.003930810335654306,0.08649344190242661,0.05020125378796641,0.26413634365819244,0.09068275925883088,0.020036896527793842,0.1114784056998774,0.04317414235813921,0.11138182701427282,0.042396308033958684,0.10834914062319276,0.0444348701103426,0.023303800689352054,CT,yes,Clinton,76348
Delaware,0.010859458762083983,0.09206294126282916,0.06085033877418465,0.2607893905623696,0.08649085109506587,0.00953817271032694,0.0885239410804294,0.0418540712960615,0.09504362023480632,0.06100827027195359,0.12112233685231404,0.05004871408170619,0.02180789301586878,DE,yes,Clinton,64805
Florida,0.0090925658179984,0.12265657523574598,0.07352422323447462,0.214373703375499,0.07471245381382502,0.017522892278034295,0.05266476307938926,0.046600317494865325,0.1267132501420781,0.050715831731176164,0.12675837828874068,0.05872359463609872,0.025941450872074445,FL,no,Trump,55462
Georgia,0.01005186168139389,0.09493928260044171,0.06101722556228437,0.20898883838177396,0.06008445696095688,0.023357773120841047,0.11059871228629232,0.04057448600804958,0.12006208905611908,0.06028925729537982,0.11534894226526869,0.06927729501741013,0.02540977976378852,GA,no,Trump,58756
Hawaii,0.009844860403759802,0.16249311021452037,0.06853774867532392,0.20971992562706235,0.05923084272181435,0.011039824797348443,0.02776932630758942,0.039613143138508576,0.08851849402150348,0.14482880261040193,0.10071065840627319,0.061782451808247166,0.015910811267647037,HI,yes,Clinton,80212
Idaho,0.04724179913232848,0.08800969766039986,0.07438258536566063,0.22615255348420635,0.052231767752113446,0.015033220290692383,0.11002597210735489,0.03472928463925943,0.10294135105082171,0.05563096128454429,0.12480989182465596,0.04138917138557038,0.027421744022392204,ID,no,Trump,55583
