Geography,"Management, business, science & arts occupations",Military specific occupations,"Natural resources, construction, & maintenance occupations","Production, Transportation, & Material Moving Occupations",Sales & Office Occupations,Service Occupations,abbrev,Medicaid Expansion (2017),2016 Election,Median Household Income (2018)
Alabama,0.3552499290428581,0.002125216369312935,0.08886182745621644,0.18342071388881115,0.21274300322605147,0.15759931001674987,AL,no,Trump,49861
Alaska,0.36541644879576374,0.028865848338740382,0.09876268586434322,0.11923340257053962,0.21275563118043178,0.17496598325018128,AK,yes,Trump,74346
Arizona,0.3694931692717645,0.0025810960187965444,0.08320605826079716,0.11522059651924312,0.23400652784785117,0.19549255208154748,AZ,yes,Trump,59246
Arkansas,0.3372696460893047,0.0007084063132650706,0.09542931697283034,0.18312871872694836,0.22106826372212274,0.1623956481755288,AR,yes,Trump,47062
California,0.39565236036160767,0.0037097624017475486,0.08570861435641285,0.12451986569920272,0.21212242062973907,0.17828697655129017,CA,yes,Clinton,75277
Colorado,0.42876793714920775,0.0076270890269729994,0.08596551314400744,0.09945026525662443,0.21959718737112863,0.1585920080520588,CO,yes,Clinton,71953
Connecticut,0.44055957806102386,0.0030939878322422446,0.06529991440930856,0.1065997362881399,0.2142236692960744,0.17022311411321103,CT,yes,Clinton,76348
Delaware,0.39068026212179857,0.00226220187649312,0.08286287542096529,0.11796370689693524,0.21740716519634667,0.18882378848746112,DE,yes,Clinton,64805
Florida,0.3581825319092704,0.0027107117378093546,0.09132155510297854,0.10808687751227744,0.2462675351999544,0.19343078853770987,FL,no,Trump,55462
Georgia,0.38071391879540323,0.004329040813841132,0.08259332005361891,0.15352587374101523,0.2211504384876296,0.1576874081084919,GA,no,Trump,58756
Hawaii,0.33724893621712193,0.03670436757281125,0.08992805226683129,0.09654224632728502,0.20903057962387284,0.23054581799207766,HI,yes,Clinton,80212
Idaho,0.3582475620646308,0.0016672800252202486,0.11781364716186467,0.13855835677945869,0.2247504026402118,0.15896275132861376,ID,no,Trump,55583
Illinois,0.3908233565898036,0.0010696794424544438,0.06833389308143067,0.1507673077729211,0.2209429847270785,0.16806277838631167,IL,yes,Clinton,65030
Indiana,0.34437983129301125,0.00047952641211511084,0.08077202142120808,0.2070858481096064,0.2071186967959971,0.16016407596806206,IN,yes,Trump,55746
Iowa,0.363460637224802,0.00038555956116311766,0.08498991962965512,0.17793379020626787,0.21427764702216903,0.15895244635594288,IA,yes,Trump,59955
Kansas,0.3836074609658508,0.004381376732025389,0.09191800844675758,0.15300405311616672,0.21224823136093224,0.15484086937826727,KS,no,Trump,58218
Kentucky,0.3454792083495282,0.004235283069562881,0.08171153851170337,0.18446541159407437,0.22024776249442418,0.16386079598070696,KY,yes,Trump,50247
Louisiana,0.3418058654393106,0.00561505035051857,0.10869582156929462,0.1298500523375264,0.21933033940171584,0.19470287090163402,LA,yes,Trump,47905
Maine,0.378313636808059,0.0006828339026244162,0.0901671918022084,0.13308480071658135,0.2266109676056027,0.1711405691649241,ME,yes,Clinton,55602
Maryland,0.46356426079741986,0.007207854758052556,0.07378966157151275,0.08694883959550508,0.19817492307836188,0.1703144601991479,MD,yes,Clinton,83242
Massachusetts,0.47790001147268746,0.0005513263701459812,0.05982456059027556,0.09483277109439009,0.19771815199340842,0.16917317847909247,MA,yes,Clinton,79835
Michigan,0.36700208283394914,0.0003756329937040451,0.07229338577708022,0.17275725039309528,0.21254796028401757,0.17502368771815374,MI,yes,Trump,56697
Minnesota,0.41661301864837985,0.0003324533649633597,0.0720990626505549,0.1403495549914492,0.21353402153058149,0.15707188881407122,MN,yes,Clinton,70315
Mississippi,0.3276118906923511,0.005511231253547317,0.09229416186163204,0.1868628677491985,0.21015883458806806,0.17756101385520298,MS,no,Trump,44717
